08-25-2021 02:05:22 AM	-2306.83	3.4

08-25-2021 02:05:23 AM	-2306.83	3.4

08-25-2021 02:05:24 AM	-2306.83	3.4

08-25-2021 02:05:25 AM	-2306.83	3.4

08-25-2021 02:05:26 AM	-2306.83	3.4

08-25-2021 02:05:27 AM	-2306.83	3.4

08-25-2021 02:05:28 AM	-2306.83	3.4

08-25-2021 02:05:29 AM	-2306.83	3.4

08-25-2021 02:05:30 AM	-2306.83	3.4

08-25-2021 02:05:31 AM	-2306.83	3.4

08-25-2021 02:05:32 AM	-2306.83	3.4

08-25-2021 02:05:33 AM	-2306.83	3.4

08-25-2021 02:05:34 AM	-2306.83	3.4

08-25-2021 02:05:35 AM	-2306.83	3.4

08-25-2021 02:05:36 AM	-2306.83	3.4

08-25-2021 02:05:37 AM	-2306.83	3.4

08-25-2021 02:05:38 AM	-2306.83	3.4

08-25-2021 02:05:39 AM	-2306.83	3.4

08-25-2021 02:05:40 AM	-2306.83	3.4

08-25-2021 02:05:41 AM	-2306.83	3.4

08-25-2021 02:05:42 AM	-2306.83	3.4

08-25-2021 02:05:42 AM	-2306.83	3.4

08-25-2021 02:05:44 AM	-2306.83	3.4

08-25-2021 02:05:45 AM	-2306.83	3.4

08-25-2021 02:05:45 AM	-2306.83	3.4

08-25-2021 02:05:47 AM	-2306.83	3.4

08-25-2021 02:05:48 AM	-2306.83	3.4

08-25-2021 02:05:48 AM	-2306.83	3.4

08-25-2021 02:05:50 AM	-2306.83	3.4

08-25-2021 02:05:51 AM	-2306.83	3.4

08-25-2021 02:05:51 AM	-2306.83	3.4

08-25-2021 02:05:53 AM	-2306.83	3.4

08-25-2021 02:05:54 AM	-2306.83	3.4

08-25-2021 02:05:54 AM	-2306.83	3.4

08-25-2021 02:05:56 AM	-2306.83	3.4

08-25-2021 02:05:57 AM	-2306.83	3.4

08-25-2021 02:05:57 AM	-2306.83	3.4

08-25-2021 02:05:59 AM	-2306.83	3.4

08-25-2021 02:06:00 AM	-2306.83	3.4

08-25-2021 02:06:00 AM	-2306.83	3.4

08-25-2021 02:06:02 AM	-2306.83	3.4

08-25-2021 02:06:03 AM	-2306.83	3.4

08-25-2021 02:06:03 AM	-2306.83	3.4

08-25-2021 02:06:05 AM	-2306.83	3.4

08-25-2021 02:06:06 AM	-2306.83	3.4

08-25-2021 02:06:06 AM	-2306.83	3.4

08-25-2021 02:06:08 AM	-2306.83	3.4

08-25-2021 02:06:09 AM	-2306.83	3.4

08-25-2021 02:06:09 AM	-2306.83	3.4

08-25-2021 02:06:11 AM	-2306.83	3.4

08-25-2021 02:06:12 AM	-2306.83	3.4

08-25-2021 02:06:12 AM	-2306.83	3.4

08-25-2021 02:06:14 AM	-2306.83	3.4

08-25-2021 02:06:15 AM	-2306.83	3.4

08-25-2021 02:06:15 AM	-2306.83	3.4

08-25-2021 02:06:17 AM	-2306.83	3.4

08-25-2021 02:06:18 AM	-2306.83	3.4

08-25-2021 02:06:18 AM	-2306.83	3.4

08-25-2021 02:06:20 AM	-2306.83	3.4

08-25-2021 02:06:21 AM	-2306.83	3.4

08-25-2021 02:06:21 AM	-2306.83	3.4

08-25-2021 02:06:23 AM	-2306.83	3.4

08-25-2021 02:06:24 AM	-2306.83	3.4

08-25-2021 02:06:24 AM	-2306.83	3.4

08-25-2021 02:06:26 AM	-2306.83	3.4

08-25-2021 02:06:27 AM	-2306.83	3.4

08-25-2021 02:06:27 AM	-2306.83	3.4

08-25-2021 02:06:29 AM	-2306.83	3.4

08-25-2021 02:06:30 AM	-2306.83	3.4

08-25-2021 02:06:30 AM	-2306.83	3.4

08-25-2021 02:06:32 AM	-2306.83	3.4

08-25-2021 02:06:33 AM	-2306.83	3.4

08-25-2021 02:06:33 AM	-2306.83	3.4

08-25-2021 02:06:35 AM	-2306.83	3.4

08-25-2021 02:06:36 AM	-2306.83	3.4

08-25-2021 02:06:36 AM	-2306.83	3.4

08-25-2021 02:06:38 AM	-2306.83	3.4

08-25-2021 02:06:39 AM	-2306.83	3.4

08-25-2021 02:06:39 AM	-2306.83	3.4

08-25-2021 02:06:41 AM	-2306.83	3.4

08-25-2021 02:06:42 AM	-2306.83	3.4

08-25-2021 02:06:42 AM	-2306.83	3.4

08-25-2021 02:06:44 AM	-2306.83	3.4

08-25-2021 02:06:45 AM	-2306.83	3.4

08-25-2021 02:06:45 AM	-2306.83	3.4

08-25-2021 02:06:47 AM	-2306.83	3.4

08-25-2021 02:06:48 AM	-2306.83	3.4

08-25-2021 02:06:48 AM	-2306.83	3.4

08-25-2021 02:06:50 AM	-2306.83	3.4

08-25-2021 02:06:51 AM	-2306.83	3.4

08-25-2021 02:06:51 AM	-2306.83	3.4

08-25-2021 02:06:53 AM	-2306.83	3.4

08-25-2021 02:06:54 AM	-2306.83	3.4

08-25-2021 02:06:54 AM	-2306.83	3.4

08-25-2021 02:06:56 AM	-2306.83	3.4

08-25-2021 02:06:57 AM	-2306.83	3.4

08-25-2021 02:06:57 AM	-2306.83	3.4

08-25-2021 02:06:59 AM	-2306.83	3.4

08-25-2021 02:07:00 AM	-2306.83	3.4

08-25-2021 02:07:00 AM	-2306.83	3.4

08-25-2021 02:07:02 AM	-2306.83	3.4

08-25-2021 02:07:03 AM	-2306.83	3.4

08-25-2021 02:07:03 AM	-2306.83	3.4

08-25-2021 02:07:05 AM	-2306.83	3.4

08-25-2021 02:07:06 AM	-2306.83	3.4

08-25-2021 02:07:07 AM	-2306.83	3.4

08-25-2021 02:07:08 AM	-2306.83	3.4

08-25-2021 02:07:09 AM	-2306.83	3.4

08-25-2021 02:07:10 AM	-2306.83	3.4

08-25-2021 02:07:11 AM	-2306.83	3.4

08-25-2021 02:07:12 AM	-2306.83	3.4

08-25-2021 02:07:13 AM	-2306.83	3.4

08-25-2021 02:07:14 AM	-2306.83	3.4

08-25-2021 02:07:15 AM	-2306.83	3.4

08-25-2021 02:07:16 AM	-2306.83	3.4

08-25-2021 02:07:17 AM	-2306.83	3.4

08-25-2021 02:07:18 AM	-2306.83	3.4

08-25-2021 02:07:19 AM	-2306.83	3.4

08-25-2021 02:07:20 AM	-2306.83	3.4

08-25-2021 02:07:21 AM	-2306.83	3.4

08-25-2021 02:07:22 AM	-2306.83	3.4

08-25-2021 02:07:23 AM	-2306.83	3.4

08-25-2021 02:07:24 AM	-2306.83	3.4

08-25-2021 02:07:25 AM	-2306.83	3.4

08-25-2021 02:07:26 AM	-2306.83	3.4

08-25-2021 02:07:27 AM	-2306.83	3.4

08-25-2021 02:07:28 AM	-2306.83	3.4

08-25-2021 02:07:29 AM	-2306.83	3.4

08-25-2021 02:07:30 AM	-2306.83	3.4

08-25-2021 02:07:31 AM	-2306.83	3.4

08-25-2021 02:07:32 AM	-2306.83	3.4

08-25-2021 02:07:33 AM	-2306.83	3.4

08-25-2021 02:07:34 AM	-2306.83	3.4

08-25-2021 02:07:35 AM	-2306.83	3.4

08-25-2021 02:07:36 AM	-2306.83	3.4

08-25-2021 02:07:37 AM	-2306.83	3.4

08-25-2021 02:07:38 AM	-2306.83	3.4

08-25-2021 02:07:39 AM	-2306.83	3.4

08-25-2021 02:07:40 AM	-2306.83	3.4

08-25-2021 02:07:41 AM	-2306.83	3.4

08-25-2021 02:07:42 AM	-2306.83	3.4

08-25-2021 02:07:43 AM	-2306.83	3.4

08-25-2021 02:07:44 AM	-2306.83	3.4

08-25-2021 02:07:45 AM	-2306.83	3.4

08-25-2021 02:07:46 AM	-2306.83	3.4

08-25-2021 02:07:47 AM	-2306.83	3.4

08-25-2021 02:07:48 AM	-2306.83	3.4

08-25-2021 02:07:49 AM	-2306.83	3.4

08-25-2021 02:07:50 AM	-2306.83	3.4

08-25-2021 02:07:51 AM	-2306.83	3.4

08-25-2021 02:07:52 AM	-2306.83	3.4

08-25-2021 02:07:53 AM	-2306.83	3.4

08-25-2021 02:07:54 AM	-2306.83	3.4

08-25-2021 02:07:55 AM	-2306.83	3.4

08-25-2021 02:07:56 AM	-2306.83	3.4

08-25-2021 02:07:57 AM	-2306.83	3.4

08-25-2021 02:07:58 AM	-2306.83	3.4

08-25-2021 02:07:59 AM	-2306.83	3.4

08-25-2021 02:08:00 AM	-2306.83	3.4

08-25-2021 02:08:01 AM	-2306.83	3.4

08-25-2021 02:08:02 AM	-2306.83	3.4

08-25-2021 02:08:03 AM	-2306.83	3.4

08-25-2021 02:08:04 AM	-2306.83	3.4

08-25-2021 02:08:05 AM	-2306.83	3.4

08-25-2021 02:08:06 AM	-2306.83	3.4

08-25-2021 02:08:07 AM	-2306.83	3.4

08-25-2021 02:08:08 AM	-2306.83	3.4

08-25-2021 02:08:09 AM	-2306.83	3.4

08-25-2021 02:08:10 AM	-2306.83	3.4

08-25-2021 02:08:11 AM	-2306.83	3.4

08-25-2021 02:08:12 AM	-2306.83	3.4

08-25-2021 02:08:13 AM	-2306.83	3.4

08-25-2021 02:08:14 AM	-2306.83	3.4

08-25-2021 02:08:15 AM	-2306.83	3.4

08-25-2021 02:08:16 AM	-2306.83	3.4

08-25-2021 02:08:17 AM	-2306.83	3.4

08-25-2021 02:08:18 AM	-2306.83	3.4

08-25-2021 02:08:19 AM	-2306.83	3.4

08-25-2021 02:08:20 AM	-2306.83	3.4

08-25-2021 02:08:21 AM	-2306.83	3.4

08-25-2021 02:08:22 AM	-2306.83	3.4

08-25-2021 02:08:23 AM	-2306.83	3.4

08-25-2021 02:08:24 AM	-2306.83	3.4

08-25-2021 02:08:25 AM	-2306.83	3.4

08-25-2021 02:08:26 AM	-2306.83	3.4

08-25-2021 02:08:27 AM	-2306.83	3.4

08-25-2021 02:08:28 AM	-2306.83	3.4

08-25-2021 02:08:29 AM	-2306.83	3.4

08-25-2021 02:08:30 AM	-2306.83	3.4

08-25-2021 02:08:31 AM	-2306.83	3.4

08-25-2021 02:08:32 AM	-2306.83	3.4

08-25-2021 02:08:33 AM	-2306.83	3.4

08-25-2021 02:08:34 AM	-2306.83	3.4

08-25-2021 02:08:35 AM	-2306.83	3.4

08-25-2021 02:08:36 AM	-2306.83	3.4

08-25-2021 02:08:37 AM	-2306.83	3.4

08-25-2021 02:08:38 AM	-2306.83	3.4

08-25-2021 02:08:39 AM	-2306.83	3.4

08-25-2021 02:08:40 AM	-2306.83	3.4

08-25-2021 02:08:41 AM	-2306.83	3.4

08-25-2021 02:08:42 AM	-2306.83	3.4

08-25-2021 02:08:43 AM	-2306.83	3.4

08-25-2021 02:08:44 AM	-2306.83	3.4

08-25-2021 02:08:45 AM	-2306.83	3.4

08-25-2021 02:08:46 AM	-2306.83	3.4

08-25-2021 02:08:47 AM	-2306.83	3.4

08-25-2021 02:08:48 AM	-2306.83	3.4

08-25-2021 02:08:49 AM	-2306.83	3.4

08-25-2021 02:08:50 AM	-2306.83	3.4

08-25-2021 02:08:51 AM	-2306.83	3.4

08-25-2021 02:08:52 AM	-2306.83	3.4

08-25-2021 02:08:53 AM	-2306.83	3.4

08-25-2021 02:08:54 AM	-2306.83	3.4

08-25-2021 02:08:55 AM	-2306.83	3.4

08-25-2021 02:08:56 AM	-2306.83	3.4

08-25-2021 02:08:57 AM	-2306.83	3.4

08-25-2021 02:08:58 AM	-2306.83	3.4

08-25-2021 02:08:59 AM	-2306.83	3.4

08-25-2021 02:09:00 AM	-2306.83	3.4

08-25-2021 02:09:01 AM	-2306.83	3.4

08-25-2021 02:09:02 AM	-2306.83	3.4

08-25-2021 02:09:03 AM	-2306.83	3.4

08-25-2021 02:09:04 AM	-2306.83	3.4

08-25-2021 02:09:05 AM	-2306.83	3.4

08-25-2021 02:09:06 AM	-2306.83	3.4

08-25-2021 02:09:07 AM	-2306.83	3.4

08-25-2021 02:09:08 AM	-2306.83	3.4

08-25-2021 02:09:09 AM	-2306.83	3.4

08-25-2021 02:09:10 AM	-2306.83	3.4

08-25-2021 02:09:11 AM	-2306.83	3.4

08-25-2021 02:09:12 AM	-2306.83	3.4

08-25-2021 02:09:13 AM	-2306.83	3.4

08-25-2021 02:09:14 AM	-2306.83	3.4

08-25-2021 02:09:15 AM	-2306.83	3.4

08-25-2021 02:09:16 AM	-2306.83	3.4

08-25-2021 02:09:17 AM	-2306.83	3.4

08-25-2021 02:09:18 AM	-2306.83	3.4

08-25-2021 02:09:19 AM	-2306.83	3.4

08-25-2021 02:09:20 AM	-2306.83	3.4

08-25-2021 02:09:21 AM	-2306.83	3.4

08-25-2021 02:09:22 AM	-2306.83	3.4

08-25-2021 02:09:23 AM	-2306.83	3.4

08-25-2021 02:09:24 AM	-2306.83	3.4

08-25-2021 02:09:25 AM	-2306.83	3.4

08-25-2021 02:09:25 AM	-2306.83	3.4

08-25-2021 02:09:27 AM	-2306.83	3.4

08-25-2021 02:09:28 AM	-2306.83	3.4

08-25-2021 02:09:28 AM	-2306.83	3.4

08-25-2021 02:09:30 AM	-2306.83	3.4

08-25-2021 02:09:31 AM	-2306.83	3.4

08-25-2021 02:09:31 AM	-2306.83	3.4

08-25-2021 02:09:33 AM	-2306.83	3.4

08-25-2021 02:09:34 AM	-2306.83	3.4

08-25-2021 02:09:34 AM	-2306.83	3.4

08-25-2021 02:09:36 AM	-2306.83	3.4

08-25-2021 02:09:37 AM	-2306.83	3.4

08-25-2021 02:09:37 AM	-2306.83	3.4

08-25-2021 02:09:39 AM	-2306.83	3.4

08-25-2021 02:09:40 AM	-2306.83	3.4

08-25-2021 02:09:40 AM	-2306.83	3.4

08-25-2021 02:09:42 AM	-2306.83	3.4

08-25-2021 02:09:43 AM	-2306.83	3.4

08-25-2021 02:09:43 AM	-2306.83	3.4

08-25-2021 02:09:45 AM	-2306.83	3.4

08-25-2021 02:09:46 AM	-2306.83	3.4

08-25-2021 02:09:46 AM	-2306.83	3.4

08-25-2021 02:09:48 AM	-2306.83	3.4

08-25-2021 02:09:49 AM	-2306.83	3.4

08-25-2021 02:09:49 AM	-2306.83	3.4

08-25-2021 02:09:51 AM	-2306.83	3.4

08-25-2021 02:09:52 AM	-2306.83	3.4

08-25-2021 02:09:52 AM	-2306.83	3.4

08-25-2021 02:09:54 AM	-2306.83	3.4

08-25-2021 02:09:55 AM	-2306.83	3.4

08-25-2021 02:09:55 AM	-2306.83	3.4

08-25-2021 02:09:57 AM	-2306.83	3.4

08-25-2021 02:09:58 AM	-2306.83	3.4

08-25-2021 02:09:58 AM	-2306.83	3.4

08-25-2021 02:10:00 AM	-2306.83	3.4

08-25-2021 02:10:01 AM	-2306.83	3.4

08-25-2021 02:10:01 AM	-2306.83	3.4

08-25-2021 02:10:03 AM	-2306.83	3.4

08-25-2021 02:10:04 AM	-2306.83	3.4

08-25-2021 02:10:04 AM	-2306.83	3.4

08-25-2021 02:10:06 AM	-2306.83	3.4

08-25-2021 02:10:07 AM	-2306.83	3.4

08-25-2021 02:10:07 AM	-2306.83	3.4

08-25-2021 02:10:09 AM	-2306.83	3.4

08-25-2021 02:10:10 AM	-2306.83	3.4

08-25-2021 02:10:10 AM	-2306.83	3.4

08-25-2021 02:10:12 AM	-2306.83	3.4

08-25-2021 02:10:13 AM	-2306.83	3.4

08-25-2021 02:10:13 AM	-2306.83	3.4

08-25-2021 02:10:15 AM	-2306.83	3.4

08-25-2021 02:10:16 AM	-2306.83	3.4

08-25-2021 02:10:16 AM	-2306.83	3.4

08-25-2021 02:10:18 AM	-2306.83	3.4

08-25-2021 02:10:19 AM	-2306.83	3.4

08-25-2021 02:10:19 AM	-2306.83	3.4

08-25-2021 02:10:21 AM	-2306.83	3.4

08-25-2021 02:10:22 AM	-2306.83	3.4

08-25-2021 02:10:22 AM	-2306.83	3.4

08-25-2021 02:10:24 AM	-2306.83	3.4

08-25-2021 02:10:25 AM	-2306.83	3.4

08-25-2021 02:10:25 AM	-2306.83	3.4

08-25-2021 02:10:27 AM	-2306.83	3.4

08-25-2021 02:10:28 AM	-2306.83	3.4

08-25-2021 02:10:28 AM	-2306.83	3.4

08-25-2021 02:10:30 AM	-2306.83	3.4

08-25-2021 02:10:31 AM	-2306.83	3.4

08-25-2021 02:10:31 AM	-2306.83	3.4

08-25-2021 02:10:33 AM	-2306.83	3.4

08-25-2021 02:10:34 AM	-2306.83	3.4

08-25-2021 02:10:34 AM	-2306.83	3.4

08-25-2021 02:10:36 AM	-2306.83	3.4

08-25-2021 02:10:37 AM	-2306.83	3.4

08-25-2021 02:10:37 AM	-2306.83	3.4

08-25-2021 02:10:39 AM	-2306.83	3.4

08-25-2021 02:10:40 AM	-2306.83	3.4

08-25-2021 02:10:40 AM	-2306.83	3.4

08-25-2021 02:10:42 AM	-2306.83	3.4

08-25-2021 02:10:43 AM	-2306.83	3.4

08-25-2021 02:10:43 AM	-2306.83	3.4

08-25-2021 02:10:45 AM	-2306.83	3.4

08-25-2021 02:10:46 AM	-2306.83	3.4

08-25-2021 02:10:46 AM	-2306.83	3.4

08-25-2021 02:10:48 AM	-2306.83	3.4

08-25-2021 02:10:49 AM	-2306.83	3.4

08-25-2021 02:10:49 AM	-2306.83	3.4

08-25-2021 02:10:51 AM	-2306.83	3.4

08-25-2021 02:10:52 AM	-2306.83	3.4

08-25-2021 02:10:52 AM	-2306.83	3.4

08-25-2021 02:10:54 AM	-2306.83	3.4

08-25-2021 02:10:55 AM	-2306.83	3.4

08-25-2021 02:10:55 AM	-2306.83	3.4

08-25-2021 02:10:57 AM	-2306.83	3.4

08-25-2021 02:10:58 AM	-2306.83	3.4

08-25-2021 02:10:58 AM	-2306.83	3.4

08-25-2021 02:11:00 AM	-2306.83	3.4

08-25-2021 02:11:01 AM	-2306.83	3.4

08-25-2021 02:11:02 AM	-2306.83	3.4

08-25-2021 02:11:03 AM	-2306.83	3.4

08-25-2021 02:11:04 AM	-2306.83	3.4

08-25-2021 02:11:05 AM	-2306.83	3.4

08-25-2021 02:11:06 AM	-2306.83	3.4

08-25-2021 02:11:07 AM	-2306.83	3.4

08-25-2021 02:11:08 AM	-2306.83	3.4

08-25-2021 02:11:09 AM	-2306.83	3.4

08-25-2021 02:11:10 AM	-2306.83	3.4

08-25-2021 02:11:11 AM	-2306.83	3.4

08-25-2021 02:11:12 AM	-2306.83	3.4

08-25-2021 02:11:13 AM	-2306.83	3.4

08-25-2021 02:11:14 AM	-2306.83	3.4

08-25-2021 02:11:15 AM	-2306.83	3.4

08-25-2021 02:11:16 AM	-2306.83	3.4

08-25-2021 02:11:17 AM	-2306.83	3.4

08-25-2021 02:11:18 AM	-2306.83	3.4

08-25-2021 02:11:19 AM	-2306.83	3.4

08-25-2021 02:11:20 AM	-2306.83	3.4

08-25-2021 02:11:21 AM	-2306.83	3.4

08-25-2021 02:11:22 AM	-2306.83	3.4

08-25-2021 02:11:23 AM	-2306.83	3.4

08-25-2021 02:11:24 AM	-2306.83	3.4

08-25-2021 02:11:25 AM	-2306.83	3.4

08-25-2021 02:11:26 AM	-2306.83	3.4

08-25-2021 02:11:27 AM	-2306.83	3.4

08-25-2021 02:11:28 AM	-2306.83	3.4

08-25-2021 02:11:29 AM	-2306.83	3.4

08-25-2021 02:11:30 AM	-2306.83	3.4

08-25-2021 02:11:31 AM	-2306.83	3.4

08-25-2021 02:11:32 AM	-2306.83	3.4

08-25-2021 02:11:33 AM	-2306.83	3.4

08-25-2021 02:11:34 AM	-2306.83	3.4

08-25-2021 02:11:35 AM	-2306.83	3.4

08-25-2021 02:11:36 AM	-2306.83	3.4

08-25-2021 02:11:37 AM	-2306.83	3.4

08-25-2021 02:11:38 AM	-2306.83	3.4

08-25-2021 02:11:39 AM	-2306.83	3.4

08-25-2021 02:11:40 AM	-2306.83	3.4

08-25-2021 02:11:41 AM	-2306.83	3.4

08-25-2021 02:11:42 AM	-2306.83	3.4

08-25-2021 02:11:43 AM	-2306.83	3.4

08-25-2021 02:11:44 AM	-2306.83	3.4

08-25-2021 02:11:45 AM	-2306.83	3.4

08-25-2021 02:11:46 AM	-2306.83	3.4

08-25-2021 02:11:47 AM	-2306.83	3.4

08-25-2021 02:11:48 AM	-2306.83	3.4

08-25-2021 02:11:49 AM	-2306.83	3.4

08-25-2021 02:11:50 AM	-2306.83	3.4

08-25-2021 02:11:51 AM	-2306.83	3.4

08-25-2021 02:11:52 AM	-2306.83	3.4

08-25-2021 02:11:53 AM	-2306.83	3.4

08-25-2021 02:11:54 AM	-2306.83	3.4

08-25-2021 02:11:55 AM	-2306.83	3.4

08-25-2021 02:11:56 AM	-2306.83	3.4

08-25-2021 02:11:57 AM	-2306.83	3.4

08-25-2021 02:11:58 AM	-2306.83	3.4

08-25-2021 02:11:59 AM	-2306.83	3.4

08-25-2021 02:12:00 AM	-2306.83	3.4

08-25-2021 02:12:01 AM	-2306.83	3.4

08-25-2021 02:12:02 AM	-2306.83	3.4

08-25-2021 02:12:03 AM	-2306.83	3.4

08-25-2021 02:12:04 AM	-2306.83	3.4

08-25-2021 02:12:05 AM	-2306.83	3.4

08-25-2021 02:12:06 AM	-2306.83	3.4

08-25-2021 02:12:07 AM	-2306.83	3.4

08-25-2021 02:12:08 AM	-2306.83	3.4

08-25-2021 02:12:09 AM	-2306.83	3.4

08-25-2021 02:12:10 AM	-2306.83	3.4

08-25-2021 02:12:11 AM	-2306.83	3.4

08-25-2021 02:12:12 AM	-2306.83	3.4

08-25-2021 02:12:13 AM	-2306.83	3.4

08-25-2021 02:12:14 AM	-2306.83	3.4

